title,format,start_year,episodes,duration,runtime,genres,mean_score,popularity
Koutetsu Tenshi Kurumi Zero,OVA,2001,3,15,45,Drama- Romance- Sci-Fi,61,1423
Koutetsu Tenshi Kurumi: DVD Single Episodes,OVA,2000,4,15,60,Comedy- Romance- Sci-Fi,65,1680
Kouya no Kotobuki Hikoutai: Kanzenban,MOVIE,2020,1,119,119,Action- Adventure,57,1045
Kouya no Sakebigoe: Hoero Buck,SPECIAL,1981,1,70,70,Adventure- Drama,51,590
Kouya no Shounen Isamu,TV,1973,52,20,1040,Action- Adventure,69,595
Kowarekake no Orgel (Movie),MOVIE,2010,1,34,34,Drama- Music- Sci-Fi- Slice of Life,69,4696
Kowarekake no Orgel Special,SPECIAL,2010,1,9,9,Drama- Sci-Fi- Slice of Life,65,3015
Kozaru no Buranko,MOVIE,1959,1,12,12,Adventure,41,210
Kremlin,ONA,2012,5,2,10,Comedy,49,646
Ku Pao Yingxiong,ONA,2017,26,15,390,Action- Adventure- Fantasy,45,854
Kuaile Dongxi,TV_SHORT,2003,60,10,600,Comedy,49,38
Kuaile Dongxi 3,TV_SHORT,2009,60,10,600,Comedy,44,37
Kuaile Xiangqian Chong,ONA,2015,60,10,600,Comedy,54,33
Kuaile Xiao Dongxi,TV_SHORT,2010,60,10,600,Comedy,49,49
Kuakou de Qingwa,MOVIE,1954,1,11,11,Fantasy- Slice of Life,41,143
Kuang Shenmo Zun,ONA,2021,62,,62,Fantasy,63,483
KUBBE GACHAPIN MUKKU,ONA,2016,1,2,2,Fantasy,43,126
KUBBE: kort animasjon,ONA,2013,24,2,48,Fantasy,44,124
Kud Wafter,MOVIE,2020,1,51,51,Drama- Romance- Supernatural,70,7446
Kui Cheng Shoufu Cong Youxi Kaishi,ONA,2024,16,15,240,Action- Comedy- Drama- Fantasy,74,3579
Kuiba II: Dazhan Yuan Yang Jie,MOVIE,2013,1,98,98,Action- Adventure- Fantasy,60,245
Kuiba III: Zhanshen Jueqi,MOVIE,2014,1,80,80,Action- Adventure- Fantasy,61,256
Kuiba Yaoxia Zhuan,ONA,2014,20,10,200,Action- Adventure- Fantasy,49,129
Kuiba: Shiwanhuoji,MOVIE,2011,1,90,90,Action- Adventure- Fantasy,59,442
Kuiba: Shu Tu,ONA,2021,7,23,161,Adventure- Fantasy,60,322
Kujakuou,OVA,1988,3,55,165,Action- Horror- Supernatural,53,1229
Kujibiki Unbalance,OVA,2004,3,25,75,Comedy- Romance,57,3446
Kujibiki♥Unbalance (TV),TV,2006,12,23,276,Comedy- Romance,57,3587
Kujira (1952),MOVIE,1952,1,8,8,Fantasy,45,900
Kujira no Chouyaku,OVA,1998,1,22,22,Drama- Fantasy,64,4084
Kujira no Josephina,TV,1979,23,25,575,Fantasy,60,317
Kujira no Kora wa Sajou ni Manabu!,SPECIAL,2018,2,10,20,Drama- Fantasy- Mystery- Sci-Fi,65,3951
Kujira-tori,MOVIE,2001,1,16,16,Adventure,58,1178
Kuma Miko OVAs,SPECIAL,2016,2,16,32,Comedy,62,2392
Kuma ni Kuwarenu Otoko,MOVIE,1948,1,9,9,Adventure- Music,42,509
Kuma no Gakkou: Jackie to Katie,MOVIE,2010,1,27,27,Comedy,58,232
Kuma no Gakkou: Patissier Jackie to Ohisama no Sweets,MOVIE,2017,1,33,33,Comedy,60,64
Kuma no Keimu-sho,ONA,2011,1,3,3,Comedy,31,117
Kuma no Puutarou,TV,1995,30,24,720,Comedy,38,141
Kumarba,TV_SHORT,2024,12,2,24,Action- Comedy,42,156
Kumarba Season 2,TV_SHORT,2024,12,2,24,Action- Comedy,45,123
Kumichou Musume to Sewagakari Picture Drama,ONA,2022,7,2,14,Comedy,57,1113
Kumo ni Noru,OVA,1991,2,50,100,Action,33,191
Kumo no Gakkou,MOVIE,2005,1,90,90,Drama- Slice of Life,42,85
Kumo no Ito,MOVIE,1946,1,10,10,Fantasy,48,624
Kumo no Ito (2000),OVA,2000,1,11,11,Fantasy,44,212
Kumo no Mori no Marcus,ONA,2017,1,2,2,Adventure- Fantasy,48,109
Kumo no Ue wa Itsumo- Hare,ONA,2021,1,18,18,Drama- Slice of Life,46,130
Kumo no You ni Kaze no You ni,MOVIE,1990,1,80,80,Action- Adventure- Drama- Romance,65,3477
Kung Fu Liao Li Niang,ONA,2011,1,8,8,Action,61,1023
Kuni-chan no Ikka Ranran,MOVIE,1994,1,20,20,Drama- Slice of Life,40,69
Kunimatsu-sama no Otoridai,TV,1971,46,22,1012,Comedy- Sports,55,295
Kunoichi Gakuen Ninpouchou,OVA,2005,6,30,180,Action- Comedy- Hentai,42,622
Kunoichi Sakuya,OVA,2011,2,30,60,Fantasy- Hentai,54,742
Kurage no Shokudou,OVA,2016,1,29,29,Drama- Slice of Life,59,4854
Kuragehime Eiyuu Retsuden☆,SPECIAL,2011,4,5,20,Comedy,63,3990
Kuragehime: Soreike! Amars Tankentai,SPECIAL,2010,6,1,6,Adventure- Comedy,53,2560
Kuraku Kuroku,MUSIC,2021,1,4,4,Adventure- Psychological- Sci-Fi- Supernatural,78,2277
Kuramerukagari,MOVIE,2024,1,62,62,Fantasy,61,5066
Kurau Phantom Memory,TV,2004,24,23,552,Action- Drama- Sci-Fi,69,7719
Kurayukaba,MOVIE,2024,1,64,64,Fantasy- Mystery,63,5346
Kure-nai OVA,OVA,2010,2,29,58,Action- Comedy,65,2914
Kurenai Sanshirou,TV,1969,26,25,650,Action- Sports,60,1155
KURO,MOVIE,2010,1,7,7,Fantasy- Slice of Life,54,106
Kuro ga Ita Natsu,MOVIE,1990,1,65,65,Drama,58,459
Kurogane Communication,TV_SHORT,1998,24,15,360,Action- Adventure- Drama- Sci-Fi,66,2300
Kurogane no Linebarrels OVA,OVA,2009,2,23,46,Action- Comedy- Ecchi- Mecha,58,1294
Kuroi Ame ni Utarete,MOVIE,1984,1,90,90,Drama,49,476
Kuroi Kikori to Shiroi Kikori,MOVIE,1956,1,15,15,Fantasy,56,599
Kuroinu II THE ANIMATION,OVA,2021,1,27,27,Fantasy- Hentai,58,2833
Kurokami: Tora to Tsubasa,SPECIAL,2009,1,23,23,Action,65,1937
Kuroko no Basket: Oshaberi Demo Shimasen ka,SPECIAL,2014,1,16,16,Comedy- Sports,69,6997
Kuroko no Basket: Oshaberi Shiyou ka,SPECIAL,2017,1,16,16,Comedy- Sports,69,5340
Kuromajo-san ga Tooru!!,TV_SHORT,2012,60,7,420,Comedy- Slice of Life,63,2794
KUROMIS PRETTY JOURNEY,ONA,2023,21,2,42,Adventure- Comedy,65,2034
KUROMIS PRETTY JOURNEY: Hacha Mecha! Multiverse Daidasshutsu!,ONA,2024,19,2,38,Adventure- Comedy,68,657
KU-RU-KU-RU Cruller!,MUSIC,2021,1,8,8,Fantasy- Slice of Life,75,1336
Kurumiwari Ningyou,MOVIE,1979,1,95,95,Drama- Fantasy- Romance,58,733
Kuruneko,TV_SHORT,2009,50,2,100,Comedy- Slice of Life,65,1273
Kuruneko Season 2,TV_SHORT,2010,50,2,100,Comedy- Slice of Life,53,410
Kuruneko: Kurunekobin,SPECIAL,2009,4,7,28,Comedy- Slice of Life,54,183
Kuruneko: Nyaalock Holmes no Bouken,SPECIAL,2010,4,6,24,Comedy- Slice of Life,56,190
Kusatta Kyoushi no Houteishiki,OVA,1994,2,27,54,Comedy- Romance,52,1245
Kushimitama Samurai,ONA,2014,1,17,17,Action- Adventure- Drama,49,111
Kusoge-tte Iuna! Animation,ONA,2020,12,3,36,Comedy,47,1109
KutsuDaru.,TV_SHORT,2014,48,9,432,Fantasy- Slice of Life,51,300
Kutsuya to Kobito,MOVIE,1960,1,14,14,Fantasy,51,176
Kuuchuu Gunkan Atlantis,ONA,2019,1,18,18,Action- Mecha,51,350
Kuusen Madoushi Kouhosei no Kyoukan: Lecty no- Ikimonogatari,OVA,2016,1,24,24,Action- Drama- Fantasy,60,6388
Kuusou Kagaku Sekai Gulliver Boy,TV,1995,50,24,1200,Action- Adventure- Fantasy- Mecha,72,715
Kuwagata Tsumami,ONA,2005,84,3,252,Comedy,39,134
Kuzurinen,MUSIC,2024,1,4,4,Fantasy- Sci-Fi,69,185
Kuzuryuugawa to Shounen,OVA,1998,1,30,30,Drama,38,98
Kwaegeol Longman Narongi,TV_SHORT,2006,52,15,780,Adventure,35,118
KY-kei JC Kuuki-chan,ONA,2013,6,4,24,Comedy,51,533
Kyochuu Rettou,OVA,2019,1,25,25,Action- Drama- Ecchi- Horror- Mystery- Thriller,37,7676
Kyojin no Hoshi,TV,1968,182,25,4550,Drama- Sports,68,1392
Kyojin no Hoshi (1982),MOVIE,1982,1,110,110,Drama- Sports,56,345
Kyojin no Hoshi: Chizome no Kesshousen,MOVIE,1969,1,90,90,Drama- Sports,51,273
Kyojin no Hoshi: Dai League Ball,MOVIE,1970,1,70,70,Drama- Sports,53,267
Kyojin no Hoshi: Ike Ike Hyuuma,MOVIE,1969,1,70,70,Drama- Sports,51,253
Kyojin no Hoshi: Shukumei no Taiketsu,MOVIE,1970,1,60,60,Drama- Sports,49,254
Kyojinzoku no Hanayome,ONA,2020,9,6,54,Ecchi- Fantasy- Romance,49,7366
Kyokou Suiri Mini Anime,ONA,2019,38,1,38,Comedy,55,2543
Kyokou Suiri Mini Anime Season 2,ONA,2022,16,2,32,Comedy,57,981
Kyokou Uranai,ONA,2020,12,1,12,Fantasy- Supernatural,58,2842
Kyokujitsu no Kantai,OVA,1997,15,30,450,Action- Drama,56,537
Kyomu Senshi MIROKU,OVA,1989,6,25,150,Action- Sci-Fi,57,810
Kyonyuu Fantasy,OVA,2012,2,29,58,Comedy- Fantasy- Hentai- Supernatural,69,6153
Kyonyuu Onna Senshi Dogeza Saimin,OVA,2022,2,16,32,Fantasy- Hentai,66,2492
Kyoro-chan,TV,1999,91,25,2275,Adventure- Comedy- Fantasy,74,860
Kyoshin to Hyouka no Shiro,ONA,2020,4,1,4,Drama- Mystery- Supernatural,54,1580
Kyoshiro to Towa no Sora,TV,2007,12,24,288,Drama- Romance,57,7281
Kyoshiro to Towa no Sora Specials,SPECIAL,2007,6,5,30,Drama- Romance,59,1165
Kyoto Animation: Hassou-hen,SPECIAL,2012,1,1,1,Fantasy,54,1774
Kyoto Animation: Hoshi-hen,SPECIAL,2011,1,1,1,Fantasy,56,1758
Kyoto Animation: Kasa-hen,SPECIAL,2012,1,1,1,Fantasy,59,1867
Kyoto Animation: Megane-hen,SPECIAL,2012,1,1,1,Action- Supernatural,62,5708
Kyou kara Maou! 3rd Series,TV,2008,39,24,936,Adventure- Comedy- Fantasy- Romance,74,5417
Kyou kara Maou! R,OVA,2007,5,25,125,Adventure- Comedy- Fantasy,71,4365
Kyou- Koi wo Hajimemasu,OVA,2010,2,20,40,Drama- Romance- Slice of Life,58,5050
Kyou mo Tsuno ga Aru,TV_SHORT,2019,50,1,50,Comedy,34,175
Kyou no Go no Ni,OVA,2006,4,29,116,Comedy- Ecchi- Romance,68,6425
Kyou no Go no Ni Kagai Jugyou: Mizukake,SPECIAL,2008,1,5,5,Comedy- Ecchi,65,1604
Kyou no Go no Ni: Takarabako,OVA,2009,1,28,28,Comedy- Ecchi- Romance,70,2299
Kyoufu no Bio Ningen Saishuu Kyoushi,OVA,1988,1,56,56,Action- Adventure- Comedy- Supernatural,53,1895
Kyoufu no Kyou-chan,TV_SHORT,1994,7,3,21,Comedy,36,136
Kyoufu! Zombie Neko,TV_SHORT,2015,52,1,52,Comedy- Supernatural,46,344
Kyoukai no Rinne 2,TV,2016,25,24,600,Comedy- Romance- Supernatural,69,7579
Kyoukai no Rinne 3,TV,2017,25,24,600,Comedy- Romance- Supernatural,69,5501
Kyoukai Senki Part 2,TV,2022,12,24,288,Fantasy- Mecha- Sci-Fi,62,4935
Kyoukai Senki: Kyokkou no Souki,ONA,2023,6,10,60,Fantasy- Mecha- Sci-Fi,53,1912
Kyoukaisenjou no Horizon Special,SPECIAL,2018,1,12,12,Action- Fantasy- Sci-Fi,60,1821
Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,ONA,2011,4,8,32,Comedy- Fantasy,53,791
Kyoukara Omoide,MUSIC,2013,1,5,5,Drama,65,231
Kyoukasho ni Nai!,OVA,1998,2,39,78,Comedy- Ecchi- Romance,47,2034
Kyouki Sanmyaku: Naked Peak - Pilot Film,SPECIAL,2023,1,5,5,Adventure- Sports,68,1338
Kyouran Kazoku Nikki,TV,2008,26,24,624,Comedy- Sci-Fi,68,6129
Kyouryoku Boukuusen,MOVIE,1942,1,10,10,Action,39,333
Kyouryuu Boukenki Jura Tripper,TV,1995,39,25,975,Adventure- Drama- Fantasy- Sci-Fi,71,819
Kyouryuu Pikora,SPECIAL,1995,1,5,5,Adventure,36,30
Kyouryuu Shoujo Gauko,TV_SHORT,2017,10,2,20,Comedy- Slice of Life,53,40
Kyouryuu Shoujo Gauko,ONA,2019,20,9,180,Comedy- Slice of Life,60,977
Kyouryuu Shoujo Gauko Season 2,ONA,2020,19,7,133,Comedy- Slice of Life,62,486
Kyouryuu Wakusei,TV,1993,60,20,1200,Adventure- Fantasy- Sci-Fi,60,333
Kyoushoku Soukou Guyver,OVA,1986,1,54,54,Action- Horror- Sci-Fi,61,2267
Kyoushoku Soukou Guyver (1989),OVA,1989,6,29,174,Action- Horror- Sci-Fi,68,4218
Kyoushoku Soukou Guyver (TV),TV,2005,26,23,598,Adventure- Sci-Fi,69,4742
Kyoushoku Soukou Guyver ACT II,OVA,1991,6,30,180,Action- Adventure- Drama- Horror- Sci-Fi,66,2362
Kyutai Panic Adventure Returns!!!,SPECIAL,2004,1,9,9,Action,47,1066
Kyutai Panic Adventure!,SPECIAL,2003,1,9,9,Action,44,1132
Kyuubi no Kitsune to Tobimaru (Sesshoseki),MOVIE,1968,1,81,81,Fantasy,40,263
Kyuuketsuki,OVA,2011,2,30,60,Fantasy- Hentai,54,1871
Kyuukyoku Choujin R,OVA,1991,1,91,91,Comedy- Sci-Fi,64,1053
Kyuukyoku no SEX Adventure Kamasutra,OVA,1992,1,42,42,Action- Comedy- Hentai- Romance- Supernatural,38,588
Kyuumei Senshi Nanosaver,TV,1997,28,25,700,Adventure,58,63
L/R -Licensed by Royal-,TV,2003,13,23,299,Action- Adventure- Mystery,61,1747
La Seine no Hoshi,TV,1975,39,23,897,Action- Drama- Romance,67,1215
La Vilaine LuLu,SPECIAL,2009,13,25,325,Comedy,39,107
Lady Georgie,TV,1983,45,25,1125,Drama- Romance,71,3708
Lady Jewelpet,TV,2014,52,25,1300,Fantasy- Mahou Shoujo- Romance,73,3639
Lady Lady!!,TV,1987,21,23,483,Drama,71,2003
Lady Lady!! (1988),MOVIE,1988,1,25,25,Drama,62,546
LAIDBACKERS,MOVIE,2019,1,60,60,Comedy- Fantasy,57,2540
Lala-chan Santa no Fantasy Christmas,MUSIC,2017,1,3,3,Fantasy,46,53
LaLaLa Demacia,ONA,2011,10,6,60,Comedy- Fantasy,53,131
LaLaLa Demacia 2,ONA,2012,10,10,100,Comedy- Fantasy,53,85
LaLaLa Demacia 3,ONA,2013,10,7,70,Comedy- Fantasy,57,87
Lalala Lala-chan,ONA,2015,24,2,48,Adventure- Fantasy,50,43
Lalala Lala-chan ★Uchuu ni Muchuu★,TV_SHORT,2017,12,5,60,Adventure- Fantasy,51,35
Lalala Lala-chan Mini,ONA,2015,24,1,24,Comedy,51,35
Lalala Lala-chan: Lala to Mainichi,TV_SHORT,2018,12,4,48,Adventure- Fantasy,57,33
Lalala Lala-chan: Patapata Daisensou,TV_SHORT,2016,12,4,48,Adventure- Fantasy,53,37
LALALACOCO,TV_SHORT,2020,13,5,65,Comedy,44,130
Lamune,TV,2005,12,24,288,Drama- Romance- Slice of Life,63,7549
Lan Mao,TV_SHORT,1999,424,12,5088,Adventure- Comedy,52,247
Landlock,OVA,1996,2,45,90,Adventure- Fantasy,55,1236
Landreaall,OVA,2017,1,30,30,Action- Adventure- Fantasy,43,440
Lang Lang Shan Xiao Yao Guai,MOVIE,2025,1,118,118,Action- Comedy- Fantasy,81,313
Lao Fu Zi Fan Dou Zhen Tan,MOVIE,2003,1,80,80,Comedy,44,153
Lao Fu Zi Shui Hu Zhuan,MOVIE,1982,1,72,72,Adventure- Comedy,50,187
Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,MOVIE,2011,1,86,86,Comedy,45,127
Laodai He Xiaodai,TV_SHORT,2007,52,12,624,Comedy,34,34
Larva,TV_SHORT,2011,104,2,208,Comedy,54,930
Larva in New York,TV_SHORT,2014,104,2,208,Comedy,56,485
Larva Island,ONA,2018,13,8,104,Comedy,55,410
Larva Island Season 2,ONA,2019,13,8,104,Comedy,51,269
Larva Season 2,TV_SHORT,2013,52,4,208,Comedy,55,575
Last Exile: Ginyoku no Fam - Over the Wishes,MOVIE,2016,1,120,120,Action- Adventure- Sci-Fi,63,1777
Last Of Me,MUSIC,2020,1,2,2,Action- Fantasy,68,570
Last Orders,SPECIAL,1997,1,1,1,Action- Sci-Fi,58,961
Lata Dawang Qiyu Ji,TV,1987,13,,13,Adventure,60,21
Layton Mystery Tanteisha: Katri no Nazotoki File,TV,2018,50,23,1150,Adventure- Mystery,70,7275
Lee Shi Zhentan Shiwusuo,ONA,2022,6,10,60,Action- Comedy,65,2158
Lee Shi Zhentan Shiwusuo: Liang Xiaoshi Jiaqi,ONA,2023,1,10,10,Action,61,421
LEE ZO,MOVIE,2007,1,10,10,Drama- Psychological,40,47
Legend of Basara,TV,1998,13,24,312,Action- Adventure- Drama- Romance- Sci-Fi,69,3756
Legend of Crystania,OVA,1996,3,45,135,Action- Adventure- Fantasy- Supernatural,58,2297
Legend of Duo,TV_SHORT,2005,12,5,60,Drama- Supernatural,37,2022
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,OVA,1989,1,45,45,Action- Adventure- Ecchi- Fantasy,54,3615
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film,SPECIAL,1998,1,3,3,Action- Adventure,43,421
Legendz: Yomigaeru Ryuuou Densetsu,TV,2004,50,24,1200,Action- Adventure- Comedy- Fantasy,74,1139
Lei Su Deng Shandian Chong Xian,TV,2007,26,24,624,Comedy- Sports,50,22
Leichte Chousaroku,ONA,2022,1,5,5,Action- Sci-Fi,66,97
Leina Kenrou Densetsu,OVA,1988,3,30,90,Action- Mecha,62,653
Lemon Angel Project,TV,2006,13,24,312,Drama- Music,60,2246
Lemon Home Animation Gekijou,ONA,2013,3,2,6,Comedy,47,678
Lengxue Kuang Yan,MOVIE,2020,1,129,129,Action- Fantasy,69,184
LESSON XX,OVA,1995,1,45,45,Comedy- Romance,57,2251
LETS Nupu Nupu,TV_SHORT,1998,16,5,80,Comedy- Ecchi,60,3120
Leviathan,ONA,2025,12,25,300,Adventure- Mecha- Sci-Fi,67,6760
Li Shi,ONA,2020,16,24,384,Action- Mystery- Supernatural,59,1185
Lian Qi Lianle 3000 Nian,ONA,2022,16,19,304,Action- Fantasy,64,1938
Lianai Shang Shang Qian,ONA,2021,20,8,160,Drama- Romance,52,98
Liang Bu Yi,ONA,2021,12,10,120,Comedy- Romance,76,4574
Liang Bu Yi 2,ONA,2022,12,10,120,Comedy- Romance,78,1701
Liang Bu Yi 2 Part 2,ONA,2023,12,10,120,Comedy- Romance,80,1014
Liang Bu Yi Part 2,ONA,2021,12,10,120,Comedy- Romance,78,1548
Liangchen you meng,ONA,2024,1,3,3,Fantasy- Slice of Life,67,294
Libashanhe Xi Zitang,ONA,2022,20,9,180,Fantasy,60,217
LIBERATION,MUSIC,2021,1,5,5,Action- Fantasy- Sci-Fi,57,53
Liberty,MUSIC,2020,1,4,4,Adventure,51,52
Licca the movie: Licca-chan to Yamaneko Hoshi no Tabi,OVA,1997,1,78,78,Adventure- Fantasy,55,380
Licca-chan Fushigi na Fushigi na Yunia Monogatari,OVA,1990,2,30,60,Adventure- Fantasy,66,1098
Licca-chan Fushigi na Mahou no Ring,OVA,1991,2,30,60,Adventure- Fantasy,67,673
Licca-chan no Nichiyoubi,OVA,1992,1,25,25,Adventure- Fantasy,67,643
Lie Huo Jiao Chou,ONA,2021,12,20,240,Action- Drama- Supernatural,71,3400
Lie Yang Tiandao,ONA,2020,1,,1,Action- Fantasy,67,159
Lie Yang Tiandao II,ONA,2021,1,67,67,Action- Fantasy,66,137
Life is Cool,MOVIE,2008,1,98,98,Comedy- Drama- Romance,61,146
Lightning Trap: Leina & Laika,OVA,1990,1,27,27,Action,52,656
Lil Chillun,OVA,1989,1,20,20,Fantasy,34,87
Lilitales,OVA,2018,4,20,80,Fantasy- Hentai,56,1126
LILY-C.A.T.,OVA,1987,1,67,67,Adventure- Drama- Horror- Sci-Fi,58,4350
Lime-iro Ryuukitan X CROSS: Koi,TV,2005,13,25,325,Drama- Mecha- Romance,50,1316
Lime-iro Senkitan,TV,2003,13,25,325,Comedy- Ecchi- Mecha- Supernatural,55,2878
Lime-iro Senkitan: Nankoku Yume Roman,OVA,2004,2,28,56,Action- Comedy- Ecchi- Mecha,55,1100
LINE OFFLINE: Salaryman,TV_SHORT,2013,114,3,342,Comedy,61,671
Line Town,TV,2013,50,24,1200,Comedy,63,450
Ling Feng Zhe,ONA,2019,7,20,140,Drama- Romance- Slice of Life,54,1581
Ling Jian Zun,ONA,2019,30,10,300,Action- Fantasy- Romance,64,1421
Ling Jian Zun 2,ONA,2019,30,10,300,Action- Fantasy- Romance,67,889
Ling Jian Zun 3,ONA,2019,40,10,400,Action- Fantasy- Romance,68,860
Ling Jian Zun 4,ONA,2020,560,11,6160,Action- Adventure- Fantasy,72,939
Ling Long,ONA,2019,6,37,222,Action- Drama- Horror- Mecha- Mystery- Sci-Fi- Thriller,71,3448
Ling Long 2,ONA,2025,12,38,456,Action- Sci-Fi,85,897
Ling Long 2 Qianzhan Pian: Changye Jiangzhi,ONA,2023,1,31,31,Action- Mecha- Sci-Fi,79,160
Ling Long Final Chapter,ONA,2021,2,43,86,Action- Drama- Horror- Mecha- Mystery- Sci-Fi- Thriller,77,1026
Ling Long Middle Chapter,ONA,2019,1,47,47,Action- Drama- Horror- Mecha- Mystery- Sci-Fi- Thriller,74,1108
Ling Long Part 2,ONA,2020,6,30,180,Action- Drama- Horror- Mecha- Mystery- Sci-Fi- Thriller,77,1301
Ling Long Special,ONA,2021,1,42,42,Action- Horror- Sci-Fi,77,813
Ling Tian Du Zun,ONA,2025,60,12,720,Action- Adventure- Fantasy,67,193
Ling Yu,ONA,2015,10,12,120,Fantasy,60,1426
Ling Yu 2,ONA,2016,10,15,150,Fantasy,64,677
Ling Yu 3,ONA,2016,12,15,180,Fantasy,61,585
Ling Yu 4,ONA,2016,12,13,156,Fantasy,62,530
Ling Yu 5,ONA,2017,12,13,156,Fantasy,61,479
Ling Yu: Zhuiyi Pian,ONA,2018,12,12,144,Adventure- Fantasy,55,461
LIP×LIP FILM×LIVE Mini Anime,ONA,2020,2,3,6,Comedy,52,286
Little Charo 4: Eigo de Aruku New York,TV_SHORT,2013,36,5,180,Adventure,46,215
Little El Cid no Bouken,TV,1983,26,20,520,Adventure,53,323
Little Lulu to Chicchai Nakama,TV,1976,26,25,650,Comedy- Slice of Life,53,376
Little Nemo Pilot,SPECIAL,1980,1,8,8,Adventure- Fantasy,53,199
Little Nemo Pilot (1984),SPECIAL,1984,1,3,3,Adventure,58,579
Little Nemo Pilot (1987),SPECIAL,1987,1,10,10,Adventure,56,505
Little Polar Bear: Shirokuma-kun- Doko e?,MOVIE,1990,1,30,30,Adventure,55,408
Little Polar Bear: Shirokuma-kun- Fune ni Noru,OVA,1991,1,26,26,Adventure,54,408
Little Twin Stars: Hajimari no Monogatari,ONA,2025,1,9,9,Fantasy,64,110
Little Twins,OVA,1992,12,25,300,Adventure,54,167
Little Twins: Bokura no Natsu ga Tondeiku,MOVIE,1992,1,25,25,Adventure,49,110
Little Village People,TV_SHORT,2008,15,6,90,Comedy,56,97
Liu Yi Chuanqi,ONA,2020,26,13,338,Action- Comedy- Fantasy,42,181
Liuxing Huan Jian,ONA,2021,60,12,720,Fantasy,52,309
Liv & Bell,TV_SHORT,2013,10,5,50,Adventure,45,50
Live On CARDLIVER Kakeru,TV,2008,51,23,1173,Fantasy,60,549
Lloromannic,SPECIAL,2007,2,3,6,Comedy- Fantasy- Supernatural,65,45
Lollipop,MUSIC,2025,1,3,3,Action- Comedy,69,353
Long Dao Qi Yuan,MOVIE,2005,1,84,84,Action- Fantasy,48,227
Long Hun,ONA,2025,8,17,136,Action- Adventure- Fantasy,72,141
Long She Yanyi,ONA,2022,16,,16,Action- Adventure- Drama,71,477
Long Shidai,ONA,2023,26,10,260,Action- Adventure- Fantasy,56,100
Long Xin Shaonü: Zhuiluo,ONA,2019,1,2,2,Action- Fantasy,61,196
Long Zai Na Li,MOVIE,2015,1,97,97,Adventure- Comedy,44,76
Long Zhi Gu: Jingling Wangzuo,MOVIE,2016,1,104,104,Action- Adventure- Fantasy,68,1071
Long Zhi Gu: Poxiao Qibing,MOVIE,2014,1,87,87,Action- Adventure- Fantasy,67,1189
Long Zhong Ren,ONA,2024,16,17,272,Comedy- Mystery- Romance,70,607
LOS ANGELES LAKERS x ONE PIECE,SPECIAL,2025,1,1,1,Action- Comedy- Fantasy- Sports,77,4132
Lost Universe,TV,1998,26,22,572,Adventure- Comedy- Drama- Sci-Fi,67,4552
LOST UTOPIA,MOVIE,2007,1,5,5,Action- Fantasy- Music- Supernatural,41,497
Love Get CHU: Miracle Seiyuu Hakusho,TV,2006,25,24,600,Comedy- Romance,62,1992
Love Hina: Motoko no Sentaku- Koi ka Ken... Naku na,SPECIAL,2000,1,25,25,Drama- Ecchi- Romance- Slice of Life,67,6474
Love Kome: We Love Rice,TV_SHORT,2017,12,4,48,Comedy- Music,43,3513
Love Kome: WE LOVE RICE 2nd Season,TV_SHORT,2017,12,4,48,Comedy,43,1415
Love Like Aliens,MUSIC,2012,1,6,6,Action- Sci-Fi,51,465
Love Position Halley Densetsu,OVA,1985,1,93,93,Fantasy- Sci-Fi,63,839
Love Slate,OVA,2017,1,88,88,Drama- Hentai,48,190
LOVE♥LOVE?,TV_SHORT,2004,9,15,135,Comedy- Ecchi- Romance,53,4554
LOVE♥LOVE? Specials,SPECIAL,2004,4,15,60,Comedy- Ecchi- Romance,50,1197
Lovedol: Lovely Idol OVA,OVA,2007,1,28,28,Comedy- Drama- Ecchi- Music,54,783
LOVELESS Ohayou! Loveless-kun,SPECIAL,2005,6,2,12,Comedy- Fantasy- Supernatural,57,2571
Lu Di Jian Xian,ONA,2024,150,8,1200,Action- Comedy- Fantasy,73,200
Lu La La,MUSIC,1996,1,2,2,Fantasy,33,75
Lü Lin Da Maoxian Zhi Tangguo Shijie,MOVIE,2016,1,73,73,Adventure- Fantasy,45,92
Lu Shidai,ONA,2013,14,10,140,Action- Adventure- Comedy,57,1603
Lu Shidai 2,ONA,2014,13,13,169,Action- Adventure- Comedy,60,689
Luger Code 1951,ONA,2016,1,26,26,Action- Fantasy,60,5153
Luigis Toy Adventure,ONA,2014,1,1,1,Adventure,57,2076
Luka to Taiyou no Hana,SPECIAL,2024,2,30,60,Fantasy,51,67
Lunatic Night,OVA,1996,3,34,102,Adventure- Hentai,49,437
Lunatic Wars,MUSIC,2025,1,6,6,Action- Comedy,55,128
Luna-ui Mabeobdogam,SPECIAL,2021,6,2,12,Adventure- Fantasy,55,27
Lunny-chan to Tanjoubiya-san,ONA,2024,1,1,1,Adventure,46,117
Luo Fanchen,MOVIE,2024,1,118,118,Fantasy- Romance,74,142
Luo Xiaohei Zhan Ji,ONA,2011,28,7,196,Action- Adventure- Comedy- Slice of Life- Supernatural,77,3182
Luo Xiaohei Zhan Ji 2,MOVIE,2025,1,120,120,Action- Adventure- Fantasy,87,6656
