title,format,start_year,episodes,duration,runtime,genres,mean_score,popularity
Bai Yao Pu: Si Fu Pian,ONA,2024,12,23,276,Fantasy- Mystery- Supernatural,75,928
Bai Yue Er,ONA,2021,1,9,9,Drama,61,212
Baijia Jue: Jianghu Gui Shi Lu,ONA,2024,16,18,288,Action- Adventure- Sci-Fi,58,166
Baito Saki wa Aku no Soshiki?!,ONA,2017,10,2,20,Action- Comedy- Romance,43,230
Baiye Linglong,ONA,2018,25,15,375,Fantasy- Romance,56,1236
Baja no Studio,OVA,2017,1,22,22,Adventure- Fantasy,69,3311
Baja no Studio: Baja no Mita Umi,OVA,2019,1,28,28,Adventure- Fantasy,68,1476
Baka Baka Baka na Sekai,MOVIE,1968,1,5,5,Comedy,36,834
Baka Mukashi Banashi Movie: Jijii Wars,MOVIE,2013,1,67,67,Comedy- Fantasy,41,127
Baka to Test to Shoukanjuu Mini Anime,SPECIAL,2017,1,4,4,Comedy,63,4276
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,SPECIAL,2011,1,3,3,Comedy- Mahou Shoujo,66,5799
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,SPECIAL,2011,6,3,18,Comedy- Slice of Life,66,3855
Baka to Test to Shoukanjuu: Matsuri Special,SPECIAL,2011,1,3,3,Comedy,63,6425
Bakabon Osomatsu no Curry wo Tazunete Sanzenri,SPECIAL,1991,2,30,60,Adventure- Comedy,49,163
Bakegyamon,TV,2006,51,25,1275,Action- Adventure- Comedy- Fantasy,59,1076
Bakeneko Anzu-chan,MOVIE,2024,1,90,90,Fantasy- Slice of Life- Supernatural,72,4776
Baki: Saikyou Shikeishuu-hen,OVA,2016,1,16,16,Action- Sports,62,6219
Baku TECH! Bakugan,TV_SHORT,2012,51,5,255,Action,50,847
Baku TECH! Bakugan Gachi,TV_SHORT,2013,39,5,195,Action,50,212
Bakuen CAMPUS Guardress,OVA,1994,4,30,120,Action- Comedy- Fantasy- Supernatural,60,1782
Bakugan,ONA,2023,26,23,598,Action- Fantasy,61,444
Bakugan Armored Alliance,TV,2020,52,23,1196,Action- Comedy- Fantasy,59,1447
Bakugan Battle Planet,TV,2019,50,23,1150,Action- Comedy- Fantasy,52,2425
Bakugan Battle Planet Short Anime,ONA,2019,50,2,100,Comedy,50,328
Bakugan: Evolutions,TV,2022,30,22,660,Action- Comedy- Fantasy,69,811
Bakugan: Geogan Rising,TV,2021,26,22,572,Action- Comedy- Fantasy,64,1037
Bakugan: Legends,ONA,2023,13,22,286,Action- Fantasy,69,513
Bakuhatsu Gorou,TV,1970,26,25,650,Comedy- Sports,50,419
Bakuhatsu Sunzen!! Tenshi no Countdown,OVA,2001,1,30,30,Comedy- Hentai,49,821
Bakujuu Gasshin Ziguru Hazeru,TV_SHORT,2013,6,2,12,Action- Mecha,31,223
Bakukyuu HIT! Crash B-Daman,TV,2006,50,23,1150,Adventure,63,719
Bakukyuu Renpatsu! Super Bedaman,TV,1999,18,40,720,Adventure,69,566
Bakuman. 3 Specials,SPECIAL,2013,2,3,6,Comedy,66,3609
BAKUMATSU Crisis,TV,2019,12,25,300,Action,50,3089
Bakumatsu Gijinden Roman,TV,2013,12,23,276,Fantasy,57,2783
Bakumatsu Kikansetsu Irohanihoheto,ONA,2006,26,24,624,Action- Drama,66,6347
Bakumatsu no Spasibo,MOVIE,1997,1,85,85,Adventure,55,568
Bakumatsu Rock,TV,2014,12,24,288,Action- Comedy- Fantasy- Music,54,6568
BAKUMATSU: Renai Bakumatsu Kareshi Gaiden,TV,2018,12,25,300,Action- Sci-Fi,50,6206
Bakuon!! no Kobeya,SPECIAL,2016,4,2,8,Comedy- Slice of Life- Sports,58,1444
Bakuretsu Hunters,TV,1995,26,25,650,Adventure- Comedy- Ecchi- Fantasy,63,6841
Bakuretsu Tenshi: Infinity,OVA,2007,1,27,27,Action- Comedy- Mecha- Sci-Fi,63,3018
Bakuretsu Tenshi: Infinity Specials,SPECIAL,2007,3,36,108,Action- Mecha- Sci-Fi,61,925
Bakusou Kyoudai Lets & Go!!,TV,1996,51,25,1275,Adventure- Sports,67,3028
Bakusou Kyoudai Lets & Go!! Special,SPECIAL,1996,1,95,95,Adventure- Sports,54,383
Bakusou Kyoudai Lets & Go!! WGP Bousou Mini Yonku Daitsuiseki,MOVIE,1997,1,80,80,Adventure- Sports,69,519
Bakuten Shoot Beyblade THE MOVIE: Gekitou!! Takao VS Daichi,MOVIE,2002,1,70,70,Action- Adventure- Comedy- Sci-Fi- Sports,64,3635
Bakuto Sengen Daigander,TV,2002,39,24,936,Adventure- Mecha- Sci-Fi,66,944
Bakutsuri Bar Hunter,TV,2018,25,25,625,Action- Adventure- Sports,57,530
Bakutsuri Hunters,ONA,2019,1,3,3,Action- Adventure- Comedy,39,114
Balala Xiao Moxian: Caihong Xin Shi,TV,2011,36,24,864,Comedy- Mahou Shoujo,53,674
Balala Xiao Moxian: Feiyue Cai Ling Bao,TV,2016,26,22,572,Comedy- Mahou Shoujo,63,382
Balala Xiao Moxian: Feiyue Cai Ling Bao 2,TV,2017,26,22,572,Comedy- Mahou Shoujo,61,294
Balala Xiao Moxian: Menghuan Xuanlu,TV,2015,52,22,1144,Comedy- Mahou Shoujo,58,432
Balala Xiao Moxian: Qiji Wubu,TV,2013,52,24,1248,Comedy- Mahou Shoujo,58,396
Baldr Force Exe Resolution,OVA,2006,4,30,120,Action- Drama- Mecha- Sci-Fi,58,3853
Balgwanghaneun Hyeondaesa,MOVIE,2014,3,80,240,Drama,44,222
Balthus: Tia no Kagayaki,OVA,1988,1,30,30,Action- Hentai- Romance,47,753
Bamboo Bears,TV,1997,52,25,1300,Comedy,49,301
Bamboo Blade: Fanfu-Fufe-Fo,SPECIAL,2008,2,3,6,Comedy,48,343
Ban Shen Zhi Jing,ONA,2023,20,,20,Action- Fantasy,55,146
Ban Ye Ji Jiao,MOVIE,1964,1,20,20,Comedy- Drama,43,44
Bananya: Around the World,ONA,2024,13,3,39,Adventure- Comedy- Fantasy- Slice of Life,68,1825
Bananya: Fushigi na Nakamatachi,TV_SHORT,2019,13,3,39,Comedy- Fantasy- Slice of Life,63,6765
Bandoe Sareoriratda,MOVIE,2017,1,85,85,Comedy- Drama- Slice of Life,52,182
BanG Dream! Garupa☆Pico Fever!,TV_SHORT,2021,26,3,78,Comedy- Music,77,4005
BanG Dream! Garupa☆Pico: Oomori,TV_SHORT,2020,26,3,78,Comedy- Music,76,5821
BanG Dream! Its MyGO!!!!!: Haru no Hidamari- Mayoi Neko,MOVIE,2024,1,118,118,Drama- Music,82,2463
BanG Dream! Its MyGO!!!!!: Utau- Bokura ni Nareru Uta & FILM LIVE,MOVIE,2024,1,119,119,Drama- Music,84,1144
Banjjagbanjjag Catch! Tiniping,TV_SHORT,2021,26,11,286,Comedy- Drama- Fantasy- Mahou Shoujo,72,173
Banjjakineun Ujeong Racing: Racer Hachuupinggwa Kkangchongpingui Tansaeng,SPECIAL,2025,1,12,12,Fantasy- Sports,64,26
Bannou Bunka Neko-Musume,OVA,1992,6,28,168,Action- Adventure- Comedy- Mecha- Sci-Fi,65,5072
Bannou Bunka Neko-Musume (1998),TV,1998,12,23,276,Action- Adventure- Comedy- Mecha- Sci-Fi,64,3210
Bannou Bunka Neko-Musume DASH!,OVA,1998,12,24,288,Action- Comedy- Ecchi- Romance- Sci-Fi,61,1850
Bannou Bunka Neko-Musume Specials,SPECIAL,1999,2,23,46,Action- Adventure- Comedy- Mecha- Sci-Fi,64,809
Bannou Yasai Ninninman,MOVIE,2011,1,24,24,Comedy- Supernatural,57,1912
Bao Liang Deng,MOVIE,1998,1,94,94,Action- Adventure- Fantasy,52,240
Baobei Nüer Hao Mama,TV_SHORT,2004,40,15,600,Comedy,33,44
Baobei Nüer Hao Mama: Chi Jiyi de Da Xueqiu,MOVIE,2012,1,83,83,Comedy,31,69
Baobei Nüer Hao Mama: Kuaile de Jiating,TV_SHORT,2012,100,15,1500,Comedy,33,45
Baoh Raihousha,OVA,1989,1,48,48,Action- Sci-Fi,59,7313
Baolie Feiche 3: Shou Shen Heti,TV,2018,52,23,1196,Action,61,85
Baolie Feiche Ⅱ: Xing Neng Juexing,TV,2017,26,23,598,Action,57,82
